event.string(),value.string(),device.string(),time.string()
"Battery","63.832031","280040001347353236343033","2017-04-25T22:58:00.000Z"
"Battery","62.242188","280040001347353236343033","2017-04-25T22:59:00.000Z"
"Battery","62.242188","280040001347353236343033","2017-04-25T23:00:00.000Z"
"Battery","62.242188","280040001347353236343033","2017-04-25T23:01:00.000Z"
"Battery","62.242188","280040001347353236343033","2017-04-25T23:02:00.000Z"
"Battery","62.242188","280040001347353236343033","2017-04-25T23:03:00.000Z"
"Battery","62.097656","280040001347353236343033","2017-04-25T23:04:00.000Z"
"Battery","62.097656","280040001347353236343033","2017-04-25T23:05:00.000Z"
"Battery","62.097656","280040001347353236343033","2017-04-25T23:06:00.000Z"
"Battery","61.953125","280040001347353236343033","2017-04-25T23:07:00.000Z"
"Battery","61.953125","280040001347353236343033","2017-04-25T23:08:00.000Z"
"Battery","61.808594","280040001347353236343033","2017-04-25T23:09:00.000Z"
"Battery","61.808594","280040001347353236343033","2017-04-25T23:10:00.000Z"
"Battery","61.664063","280040001347353236343033","2017-04-25T23:11:00.000Z"
"Battery","61.519531","280040001347353236343033","2017-04-25T23:12:00.000Z"
"Battery","61.519531","280040001347353236343033","2017-04-25T23:13:00.000Z"
"Battery","61.375","280040001347353236343033","2017-04-25T23:14:00.000Z"
"Battery","61.375","280040001347353236343033","2017-04-25T23:15:00.000Z"
"Battery","61.375","280040001347353236343033","2017-04-25T23:16:00.000Z"
"Battery","61.058594","280040001347353236343033","2017-04-25T23:17:00.000Z"
"Battery","61.058594","280040001347353236343033","2017-04-25T23:18:00.000Z"
"Battery","61.058594","280040001347353236343033","2017-04-25T23:19:00.000Z"
"Battery","60.742188","280040001347353236343033","2017-04-25T23:20:00.000Z"
"Battery","60.742188","280040001347353236343033","2017-04-25T23:21:00.000Z"
"Battery","60.425781","280040001347353236343033","2017-04-25T23:22:00.000Z"
"Battery","60.425781","280040001347353236343033","2017-04-25T23:23:00.000Z"
"Battery","60.109375","280040001347353236343033","2017-04-25T23:24:00.000Z"
"Battery","60.109375","280040001347353236343033","2017-04-25T23:25:00.000Z"
"Battery","59.792969","280040001347353236343033","2017-04-25T23:26:00.000Z"
"Battery","59.792969","280040001347353236343033","2017-04-25T23:27:00.000Z"
